atleta_id,obiettivo
51,Aumentare massa muscolare
53,Migliorare flessibilita
56,Aumentare massa muscolare
57,Perdere peso
58,Migliorare flessibilita
58,Prepararsi per gara
59,Migliorare flessibilita
59,Prepararsi per gara
60,Aumentare forza
60,Recupero infortunio
62,Recupero infortunio
63,Recupero infortunio
64,Aumentare massa muscolare
64,Migliorare flessibilita
65,Migliorare velocita
66,Migliorare resistenza
67,Aumentare forza
69,Migliorare velocita
70,Prepararsi per gara
71,Migliorare resistenza
73,Perdere peso
73,Prepararsi per gara
76,Perdere peso
78,Aumentare forza
79,Migliorare flessibilita
81,Aumentare forza
85,Prepararsi per gara
86,Migliorare resistenza
87,Aumentare forza
87,Migliorare velocita
87,Recupero infortunio
88,Aumentare forza
88,Migliorare flessibilita
89,Aumentare massa muscolare
90,Perdere peso
90,Prepararsi per gara
90,Recupero infortunio
91,Recupero infortunio
92,Perdere peso
92,Prepararsi per gara
93,Aumentare forza
94,Perdere peso
95,Migliorare velocita
95,Perdere peso
95,Recupero infortunio
96,Aumentare forza
97,Migliorare flessibilita
98,Migliorare velocita
99,Aumentare massa muscolare
101,Migliorare resistenza
101,Migliorare velocita
102,Migliorare resistenza
103,Migliorare flessibilita
104,Migliorare velocita
106,Migliorare resistenza
106,Recupero infortunio
107,Migliorare velocita
107,Perdere peso
108,Aumentare massa muscolare
108,Migliorare resistenza
109,Aumentare forza
110,Migliorare resistenza
110,Prepararsi per gara
113,Prepararsi per gara
114,Recupero infortunio
115,Migliorare flessibilita
115,Perdere peso
116,Migliorare flessibilita
118,Aumentare forza
118,Aumentare massa muscolare
118,Migliorare velocita
124,Recupero infortunio
125,Perdere peso
128,Perdere peso
129,Recupero infortunio
130,Prepararsi per gara
131,Migliorare flessibilita
133,Aumentare forza
133,Migliorare flessibilita
133,Recupero infortunio
134,Recupero infortunio
135,Recupero infortunio
137,Aumentare forza
137,Migliorare resistenza
137,Prepararsi per gara
138,Migliorare flessibilita
139,Migliorare flessibilita
141,Prepararsi per gara
141,Recupero infortunio
142,Aumentare forza
143,Migliorare flessibilita
143,Perdere peso
145,Migliorare resistenza
146,Migliorare flessibilita
148,Aumentare forza
148,Migliorare velocita
149,Perdere peso
150,Aumentare forza
150,Migliorare flessibilita
150,Perdere peso
